Crowding Distance;Front;ID;Maximized mutation Score;Minimized mutation Score;Num Inputs;Num Tests;Tests
0.10784800352967136;0;0;0.12109999999999999;0.8789;201.0;38.0;[61, 51, 22, 66, 2, 54, 60, 29, 18, 25, 28, 44, 23, 47, 58, 34, 26, 13, 21, 9, 43, 14, 33, 49, 48, 7, 59, 3, 71, 72, 20, 76, 32, 37, 19, 38, 50, 11]
0.13157551691635083;0;0;0.09740000000000004;0.9026;152.0;28.0;[27, 58, 66, 24, 6, 39, 52, 29, 57, 76, 56, 16, 23, 17, 4, 30, 68, 26, 44, 35, 73, 9, 45, 28, 65, 5, 75, 48]
0.15609018711268885;0;0;0.10370000000000001;0.8963;180.0;33.0;[27, 70, 46, 25, 2, 59, 74, 65, 47, 49, 7, 30, 15, 76, 51, 73, 75, 14, 16, 60, 22, 69, 41, 35, 5, 56, 71, 19, 48, 33, 77, 45, 63]
0.07475733509816901;0;0;0.05500000000000005;0.945;102.0;18.0;[65, 44, 68, 8, 53, 45, 23, 58, 59, 63, 19, 52, 40, 10, 7, 21, 69, 66]
0.14851442953693128;0;0;0.0363;0.9637;69.0;14.0;[3, 76, 7, 71, 49, 37, 14, 50, 77, 20, 0, 21, 12, 60]
0.16163788781260685;0;0;0.07999999999999996;0.92;134.0;26.0;[57, 66, 55, 43, 58, 1, 64, 68, 56, 65, 20, 42, 60, 70, 78, 28, 41, 79, 23, 4, 0, 13, 59, 12, 22, 77]
0.09851242404187455;0;0;0.021299999999999986;0.9787;51.0;10.0;[73, 50, 5, 9, 69, 64, 10, 36, 52, 72]
0.090274853097487;0;0;0.031299999999999994;0.9687;65.0;12.0;[67, 18, 54, 12, 32, 56, 37, 40, 30, 26, 31, 11]
0.1229995186811865;0;0;0.06999999999999995;0.93;120.0;20.0;[69, 9, 34, 53, 21, 6, 77, 1, 51, 10, 39, 73, 23, 48, 74, 46, 5, 70, 17, 67]
0.22151194272306104;0;0;0.12490000000000001;0.8751;208.0;39.0;[4, 61, 17, 5, 56, 20, 0, 22, 57, 8, 52, 12, 69, 72, 1, 30, 34, 54, 73, 71, 50, 36, 19, 67, 63, 58, 39, 66, 48, 46, 16, 68, 9, 76, 31, 78, 41, 15, 42]
0.1377850309848988;0;0;0.020000000000000018;0.98;40.0;9.0;[20, 23, 4, 30, 59, 11, 55, 57, 1]
0.11542376110542893;0;0;0.012499999999999956;0.9875;30.0;8.0;[65, 60, 50, 53, 75, 0, 70, 20]
0.0833609088903594;0;0;0.06499999999999995;0.935;118.0;20.0;[16, 30, 28, 17, 73, 78, 24, 5, 8, 57, 56, 63, 40, 68, 14, 66, 43, 19, 6, 36]
0.1477548482842988;0;0;0.09870000000000001;0.9013;169.0;30.0;[15, 48, 72, 55, 39, 67, 27, 47, 2, 12, 35, 24, 11, 61, 16, 49, 74, 62, 51, 68, 10, 33, 21, 57, 28, 26, 29, 71, 59, 52]
0.1385170366805045;0;0;0.11370000000000002;0.8863;184.0;39.0;[3, 5, 36, 28, 70, 53, 0, 43, 71, 73, 14, 52, 51, 17, 35, 41, 1, 40, 61, 44, 24, 18, 63, 22, 27, 57, 10, 9, 46, 23, 15, 62, 32, 33, 21, 45, 78, 39, 2]
0.048242183583017496;0;0;0.03249999999999997;0.9675;68.0;13.0;[55, 43, 70, 33, 45, 63, 34, 18, 26, 41, 65, 32, 49]
0.15606261155566203;0;0;0.010000000000000009;0.99;27.0;5.0;[4, 54, 8, 14, 68]
0.11921163989330771;0;0;0.02629999999999999;0.9737;55.0;11.0;[75, 8, 42, 78, 19, 51, 45, 77, 69, 46, 36]
0.2559688546617737;0;0;0.14739999999999998;0.8526;254.0;48.0;[7, 0, 57, 21, 58, 37, 56, 30, 18, 3, 52, 38, 15, 23, 69, 76, 25, 36, 66, 2, 79, 62, 4, 24, 40, 20, 42, 9, 28, 26, 44, 45, 31, 78, 29, 34, 73, 27, 50, 39, 11, 1, 19, 8, 6, 51, 71, 59]
0.19812285662715834;0;0;0.04749999999999999;0.9525;81.0;19.0;[66, 20, 22, 76, 36, 73, 39, 44, 21, 52, 8, 19, 46, 32, 57, 2, 67, 56, 50]
0.10266630567755618;0;0;0.06369999999999998;0.9363;109.0;28.0;[48, 30, 15, 44, 69, 50, 57, 13, 67, 4, 40, 45, 32, 61, 56, 5, 22, 46, 9, 60, 26, 54, 23, 35, 55, 79, 19, 52]
1.7976931348623157E308;0;0;0.0038000000000000256;0.9962;4.0;2.0;[28, 67]
0.08233309267392658;0;0;0.07499999999999996;0.925;133.0;22.0;[6, 26, 46, 48, 24, 73, 69, 37, 68, 22, 66, 21, 7, 39, 20, 40, 57, 45, 15, 3, 34, 53]
0.32315043218418443;0;0;0.13739999999999997;0.8626;231.0;45.0;[74, 31, 8, 64, 38, 1, 28, 33, 45, 17, 70, 46, 22, 75, 9, 40, 58, 48, 32, 49, 35, 23, 6, 54, 20, 34, 2, 36, 25, 12, 14, 66, 63, 61, 7, 5, 47, 73, 19, 78, 55, 68, 24, 69, 39]
0.18333734432344678;0;0;0.0937;0.9063;143.0;26.0;[30, 73, 51, 33, 14, 4, 32, 12, 1, 53, 47, 16, 66, 23, 27, 59, 72, 43, 28, 26, 50, 76, 64, 57, 7, 5]
0.08409291458596507;0;0;0.057499999999999996;0.9425;104.0;19.0;[53, 3, 11, 74, 79, 25, 41, 70, 8, 71, 46, 54, 49, 4, 20, 62, 58, 30, 9]
1.7976931348623157E308;0;0;0.15490000000000004;0.8451;268.0;50.0;[50, 52, 45, 2, 29, 74, 75, 48, 40, 46, 18, 38, 54, 47, 41, 60, 9, 64, 67, 35, 19, 70, 30, 4, 68, 58, 43, 65, 39, 25, 63, 69, 16, 66, 79, 10, 44, 6, 11, 59, 49, 7, 21, 37, 76, 13, 20, 17, 55, 14]
0.036878547219381136;0;0;0.07499999999999996;0.925;133.0;25.0;[72, 38, 78, 55, 29, 69, 37, 10, 59, 70, 52, 67, 60, 68, 71, 54, 63, 56, 44, 23, 33, 50, 3, 61, 53]
0.11336812867256257;0;0;0.1149;0.8851;197.0;37.0;[75, 70, 73, 69, 29, 43, 59, 34, 77, 32, 13, 17, 15, 60, 27, 71, 8, 55, 68, 79, 48, 25, 56, 67, 49, 33, 1, 5, 11, 47, 54, 72, 45, 38, 9, 50, 4]
0.12918145719270843;0;0;0.05249999999999999;0.9475;93.0;19.0;[72, 73, 8, 9, 4, 3, 2, 28, 61, 46, 58, 39, 37, 62, 26, 0, 63, 56, 30]
